right_song,total_count,is_right_probability
当,23271,0.9290533281767006
甜蜜蜜,21804,0.9350119244175381
月亮代表我的心,21284,0.8774196579590302
雨蝶,21117,0.752095468106265
明天会更好,20562,0.811740103102811
童年,20258,0.8883404087274164
水手,19081,0.8552486766940935
朋友,18329,0.8914834415407278
梦醒时分,17877,0.7724450411142809
向天再借五百年,17682,0.9129623345775365
光阴的故事,16587,0.8474106227768734
冬天里的一把火,16050,0.9354517133956386
新鸳鸯蝴蝶梦,15625,0.830848
歌唱祖国,15315,0.9260855370551747
北京的金山上,15298,0.9132566348542294
唱支山歌给党听,14786,0.9267550385499798
我只在乎你,14662,0.8778474969308416
大中国,13925,0.9363734290843806
懂你,13859,0.804170575077567
父亲,13096,0.8053604153940135
敢问路在何方,12998,0.9076781043237421
红旗飘飘,12626,0.8513385078409631
九月九的酒,12460,0.9276886035313001
恋曲1990,12302,0.6989107462201268
兰花草,12196,0.8237946867825516
万水千山总是情,11422,0.8584310978812817
橄榄树,11163,0.6984681537221177
爱江山更爱美人,11107,0.9441793463581525
我的未来不是梦,11045,0.9307378904481666
独家记忆,11022,0.8484848484848485
爱情买卖,10977,0.9340439099936231
大约在冬季,10768,0.8072994056463596
星星点灯,10513,0.9370303433843813
酒干倘卖无,10457,0.8906952280768863
铁血丹心,10319,0.8470782052524469
世间始终你好,10142,0.7268783277460067
海阔天空,10046,0.8325701771849492
龙的传人,9812,0.850489196901753
刀剑如梦,8663,0.7893339489784139
小幸运,8605,0.8926205694363742
江湖笑,8515,0.8717557251908397
天下无双,8462,0.6903805246986529
一剪梅,8059,0.9081771932001489
难念的经,8056,0.666583912611718
在水一方,8034,0.808688075678367
太多,7931,0.8990039087126466
爱如潮水,7417,0.8984764729675071
外婆的澎湖湾,7248,0.8758278145695364
上海滩,7062,0.888558482016426
万里长城永不倒,6874,0.8660168751818447
在希望的田野上,6804,0.8896237507348619
暗香,6564,0.6177635588056063
小城故事,6454,0.9375581035017043
夜来香,6342,0.9249448123620309
后来,6059,0.8961874896847665
只要有你,6026,0.6624626617988716
让我们荡起双桨,5998,0.8679559853284429
爱拼才会赢,5916,0.8274171737660582
相思,5375,0.7806511627906977
光辉岁月,5366,0.8654491241147969
潇洒走一回,5328,0.9192942942942943
吻别,5238,0.8340969835815196
小芳,5147,0.9358849815426462
偏偏喜欢你,5138,0.747567146749708
一生何求,5136,0.8257398753894081
用心良苦,5055,0.8496538081107814
外面的世界,4828,0.7891466445733223
双截棍,4651,0.914427004945173
流星雨,4600,0.9132608695652173
童话,4550,0.8125274725274725
十年,4502,0.9055975122167925
跟着感觉走,4445,0.8625421822272216
老鼠爱大米,4439,0.9207028610047308
东风破,4427,0.7860853851366614
2002年的第一场雪,4371,0.9588194921070693
爱你,4336,0.9146678966789668
再回首,4232,0.8553875236294896
南泥湾,4206,0.7936281502615311
泡沫,4159,0.8918009136811733
小苹果,4134,0.9622641509433962
千千阙歌,4133,0.8594241471086378
存在,4127,0.7315241095226557
你是风儿我是沙,4125,0.8802424242424243
一场游戏一场梦,4091,0.8873136152529943
成都,4079,0.8161314047560677
南山南,4051,0.9086645272772155
消愁,4045,0.7273176761433869
凉凉,4036,0.6756689791873142
那些年,4010,0.7895261845386534
妈妈的吻,3999,0.8309577394348587
终于等到你,3980,0.8188442211055277
难忘今宵,3934,0.8342653787493645
十五的月亮,3926,0.9090677534386143
跟往事干杯,3916,0.6664964249233912
是否我真的一无所有,3831,0.7875228399895589
安妮,3706,0.6297895304910955
山不转水转,3580,0.7977653631284917
英雄泪,3539,0.6990675332014693
自从有了你,3503,0.7998858121610048
恰似你的温柔,3319,0.6414582705634227
天路,3266,0.8560930802204532
我们,3160,0.6632911392405063
忘了你忘了我,3128,0.6390664961636828
很爱很爱你,2988,0.8808567603748326
月亮惹的祸,2982,0.8792756539235412
夜空中最亮的星,2821,0.8840836582772067
我的祖国,2769,0.7894546767786205
九百九十九朵玫瑰,2763,0.9091567137169743
为爱痴狂,2717,0.8594037541405962
当爱在靠近,2655,0.720527306967985
一辈子的孤单,2632,0.8875379939209727
红日,2612,0.6918070444104135
好汉歌,2557,0.9049667579194368
玫瑰玫瑰我爱你,2551,0.8788710309682477
精忠报国,2545,0.8719056974459725
南屏晚钟,2542,0.7765538945712038
送别,2453,0.5291479820627802
霸王别姬,2446,0.8192968111201963
千年等一回,2442,0.9357084357084358
因为爱情,2428,0.9151565074135091
青青河边草,2418,0.9301075268817204
你是我胸口永远的痛,2360,0.8546610169491525
敖包相会,2288,0.6861888111888111
沉默是金,2249,0.6505113383726101
九九艳阳天,2226,0.9317160826594789
一言难尽,2209,0.7446808510638298
漫步人生路,2198,0.7115559599636033
你快回来,2191,0.8028297581013236
洪湖水浪打浪,2175,0.9080459770114943
忘情水,2162,0.8496762257169288
波斯猫,2101,0.8738695859114707
心太软,2079,0.9134199134199135
真的爱你,2064,0.7577519379844961
演员,2027,0.6798223976319684
让她降落,2015,0.7791563275434243
驼铃,2014,0.6886792452830188
大城小爱,2010,0.645273631840796
独角戏,2001,0.7876061969015492
可惜没如果,1990,0.8190954773869347
挪威的森林,1973,0.7927014698428788
发如雪,1972,0.7261663286004056
鸭子,1965,0.8284987277353689
一千年以后,1964,0.7107942973523421
寂寞沙洲冷,1950,0.7605128205128205
值得,1946,0.7646454265159301
模特,1919,0.5127670661803022
味道,1918,0.8169968717413972
